?????,??????? ?????,????? ??????,ACTUAL STRENGTH,????????? ??????(?????),????????? ??????(?????),???????? ?????? ??,????
1,??A????? ?????,18,1850,865,808,1673,177
2,???????? ?????????,15,1650,883,451,1334,316
3,??A????? ??????,15,1850,911,630,1541,309
4,????????,23,1000,876,88,964,36
5,???????,30,1350,1238,94,1332,18
6,???????,10,850,741,73,814,36
7,?????,15,1000,849,123,972,28
8,??????????? ,20,800,451,100,551,249
9,?????????,9,700,618,69,687,13
10,??????????,14,700,506,68,574,126
11,?????????????,7,700,481,107,588,112
12,??????,8,800,555,140,695,105
13,????????,10,651,516,66,582,69
14,?????? ?????,15,1000,491,222,713,287
15,???,11,700,584,89,673,27
16,???????,9,1000,896,87,983,17
17,???? ,29,1200,938,76,1014,186
18,??????,8,700,580,63,643,57
19,?????,9,500,192,58,250,250
20,?????,10,1200,822,158,980,220
21,??????,12,700,516,56,572,128
22,?????,12,949,565,75,640,309
23,??????,13,1300,784,155,939,361
24,???????,11,800,668,33,701,99
25,??????,10,700,326,168,494,206
26,????????,15,1000,727,94,821,179
27,???????,18,900,715,99,814,86
28,????? ,8,500,281,59,340,160
29,????? ?????,14,900,694,107,801,99
30,???????,12,800,736,39,775,25
31,???????,7,600,473,0,473,127
32,???????,10,650,485,20,505,145
